wavelength_nm,irradiance_col1
280.5,0.001197
281.5,0.003721
282.5,0.006736
283.5,0.008971
284.5,0.009173
285.5,0.005822
286.5,0.01851
287.5,0.02477
288.5,0.02554
289.5,0.04515
290.5,0.06972
291.5,0.07464
292.5,0.07365
293.5,0.0918
294.5,0.09018
295.5,0.1125
296.5,0.1096
297.5,0.1261
298.5,0.09765
299.5,0.1451
300.5,0.09955
301.5,0.141
302.5,0.1408
303.5,0.1849
304.5,0.174
305.5,0.1838
306.5,0.1744
307.5,0.2093
308.5,0.2183
309.5,0.1704
310.5,0.2127
311.5,0.2584
312.5,0.2276
313.5,0.2519
314.5,0.2306
315.5,0.2347
316.5,0.2184
317.5,0.3086
318.5,0.2281
319.5,0.275
320.5,0.3299
321.5,0.2645
322.5,0.2784
323.5,0.2675
324.5,0.3147
325.5,0.3562
326.5,0.411
327.5,0.3888
328.5,0.359
329.5,0.449
330.5,0.4145
331.5,0.411
332.5,0.3944
333.5,0.3749
334.5,0.4167
335.5,0.4172
336.5,0.3275
337.5,0.3628
338.5,0.378
339.5,0.4104
340.5,0.441
341.5,0.3892
342.5,0.4308
343.5,0.4487
344.5,0.3154
345.5,0.4295
346.5,0.4034
347.5,0.3941
348.5,0.4327
349.5,0.3628
350.5,0.508
351.5,0.4382
352.5,0.3951
353.5,0.4755
354.5,0.5144
355.5,0.4809
356.5,0.4464
357.5,0.3798
358.5,0.2931
359.5,0.4934
360.5,0.4574
361.5,0.4124
362.5,0.4844
363.5,0.431
364.5,0.4704
365.5,0.5734
366.5,0.6069
367.5,0.5764
368.5,0.5065
369.5,0.6077
370.5,0.5515
371.5,0.6312
372.5,0.4664
373.5,0.4217
374.5,0.463
375.5,0.5225
376.5,0.5219
377.5,0.6217
378.5,0.6778
379.5,0.5016
380.5,0.6034
381.5,0.5672
382.5,0.3781
383.5,0.3321
384.5,0.4985
385.5,0.4933
386.5,0.503
387.5,0.4676
388.5,0.4689
389.5,0.5915
390.5,0.5811
391.5,0.6897
392.5,0.5173
393.5,0.225
394.5,0.5296
395.5,0.6816
396.5,0.4003
397.5,0.4621
398.5,0.7943
399.5,0.8265
400.5,0.8692
401.5,0.8946
402.5,0.929
403.5,0.8506
404.5,0.8345
405.5,0.8672
406.5,0.8171
407.5,0.824
408.5,0.9181
409.5,0.9003
410.5,0.781
411.5,0.939
412.5,0.931
413.5,0.9032
414.5,0.9286
415.5,0.8885
416.5,0.9673
417.5,0.8846
418.5,0.8918
419.5,0.9215
