case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,0.25,288.2,0.9831,1.442e-08,356275285955.8562
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,0.75,285.7,0.9265,1.524e-08,357961951944.73724
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,1.25,282.3,0.8726,1.632e-08,365376997165.7024
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,1.75,279.3,0.8212,1.764e-08,375658571859.283
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,2.25,276.9,0.7724,1.919e-08,387713569831.1571
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,2.75,274.8,0.7262,2.098e-08,401570422343.29333
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,3.25,272.3,0.6823,2.298e-08,417056094144.3297
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,3.75,269.6,0.6407,2.516e-08,433074078761.9055
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,4.25,266.8,0.6013,2.749e-08,448742120423.1414
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,4.75,263.9,0.5639,2.995e-08,463528293543.56793
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,5.25,260.9,0.5284,3.251e-08,476894612986.4327
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,5.75,257.8,0.4948,3.517e-08,488917816542.69415
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,6.25,254.5,0.4629,3.792e-08,499556299752.8307
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,6.75,251.1,0.4327,4.077e-08,508859177081.57153
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,7.25,247.6,0.4042,4.376e-08,517415815629.4297
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,7.75,244.0,0.3771,4.691e-08,525108267863.90515
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,8.25,240.4,0.3515,5.027e-08,532373547987.63043
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,8.75,236.8,0.3272,5.392e-08,539632624398.5569
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,9.25,233.2,0.3044,5.795e-08,547881025058.03546
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,9.75,229.7,0.2828,6.245e-08,556887628506.3507
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,10.25,226.3,0.2624,6.754e-08,567227202822.0743
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,10.75,223.4,0.2433,7.333e-08,578438701423.8842
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,11.25,220.4,0.2253,7.996e-08,592023715657.046
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,11.75,218.1,0.2085,8.751e-08,605933264307.791
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,12.25,215.8,0.1928,9.607e-08,621670267921.0571
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,12.75,214.1,0.1781,1.057e-07,636852644882.9484
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,13.25,212.3,0.1644,1.165e-07,653423066912.4172
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,13.75,210.8,0.1517,1.285e-07,669784077826.8424
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,14.25,209.4,0.1399,1.42e-07,687141373818.2704
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,14.75,208.1,0.129,1.576e-07,707604458333.9645
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,15.25,206.9,0.1188,1.761e-07,732372491133.4269
