wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,1.035e-16,9.053e-17,6.036e-17,3.02e-17,1.105e-17,2.835e-18,4.812e-19,4.967e-20,2.768e-21,7.018e-23,6.339e-25,1.535e-27,2.005e-29,1.025e-29,6.899e-30,4.903e-30,3.419e-30,2.129e-30
281.5,5.461e-15,4.836e-15,3.342e-15,1.778e-15,7.111e-16,2.06e-16,4.095e-17,5.178e-18,3.738e-19,1.32e-20,1.825e-22,7.65e-25,1.091e-26,5.346e-27,3.577e-27,2.536e-27,1.767e-27,1.099e-27
282.5,1.126e-13,1.007e-13,7.177e-14,4.026e-14,1.738e-14,5.586e-15,1.272e-15,1.915e-16,1.726e-17,8.094e-19,1.613e-20,1.083e-22,1.699e-24,7.91e-25,5.26e-25,3.72e-25,2.589e-25,1.609e-25
283.5,7.276e-13,6.552e-13,4.765e-13,2.766e-13,1.255e-13,4.316e-14,1.074e-14,1.81e-15,1.885e-16,1.029e-17,2.683e-19,2.441e-21,4.124e-23,1.834e-23,1.214e-23,8.567e-24,5.957e-24,3.701e-24
284.5,1.315e-11,1.198e-11,9.035e-12,5.582e-12,2.774e-12,1.078e-12,3.149e-13,6.522e-14,8.832e-15,6.964e-16,2.709e-17,4.301e-19,8.745e-21,3.468e-21,2.268e-21,1.593e-21,1.106e-21,6.864e-22
285.5,6.997e-11,6.433e-11,4.985e-11,3.225e-11,1.714e-11,7.296e-12,2.399e-12,5.787e-13,9.517e-14,9.616e-15,5.148e-16,1.231e-17,2.999e-19,1.057e-19,6.83e-20,4.778e-20,3.309e-20,2.052e-20
286.5,1.141e-09,1.056e-09,8.353e-10,5.6e-10,3.134e-10,1.431e-10,5.153e-11,1.397e-11,2.668e-12,3.261e-13,2.231e-14,7.308e-16,2.105e-17,6.62e-18,4.228e-18,2.945e-18,2.036e-18,1.261e-18
287.5,9.345e-09,8.717e-09,7.057e-09,4.921e-09,2.916e-09,1.438e-09,5.733e-10,1.77e-10,3.988e-11,6.022e-12,5.408e-13,2.51e-14,9.04e-16,2.448e-16,1.535e-16,1.063e-16,7.323e-17,4.532e-17
288.5,6.907e-08,6.496e-08,5.392e-08,3.924e-08,2.475e-08,1.328e-08,5.907e-09,2.1e-09,5.665e-10,1.076e-10,1.299e-11,8.797e-13,4.228e-14,9.556e-15,5.802e-15,3.981e-15,2.732e-15,1.687e-15
289.5,5.002e-07,4.732e-07,3.999e-07,3.001e-07,1.978e-07,1.127e-07,5.427e-08,2.134e-08,6.546e-09,1.466e-09,2.183e-10,1.937e-11,1.174e-12,2.323e-13,1.36e-13,9.25e-14,6.323e-14,3.897e-14
290.5,2.528e-06,2.403e-06,2.062e-06,1.588e-06,1.087e-06,6.514e-07,3.35e-07,1.434e-07,4.902e-08,1.26e-08,2.241e-09,2.492e-10,1.867e-11,3.329e-12,1.858e-12,1.252e-12,8.517e-13,5.239e-13
291.5,1.036e-05,9.904e-06,8.642e-06,6.851e-06,4.892e-06,3.106e-06,1.722e-06,8.115e-07,3.135e-07,9.42e-08,2.048e-08,2.943e-09,2.853e-10,4.648e-11,2.385e-11,1.583e-11,1.069e-11,6.555e-12
292.5,3.068e-05,2.947e-05,2.557e-05,2.117e-05,1.565e-05,1.042e-05,6.139e-06,3.131e-06,1.337e-06,4.565e-07,1.169e-07,2.071e-08,2.507e-09,3.94e-10,1.826e-10,1.19e-10,7.979e-11,4.873e-11
293.5,0.0001075,0.0001037,9.302e-05,7.724e-05,5.9e-05,4.104e-05,2.563e-05,1.407e-05,6.603e-06,2.543e-06,7.595e-07,1.637e-07,2.465e-08,3.924e-09,1.597e-09,1.013e-09,6.728e-10,4.089e-10
294.5,0.0002377,0.0002301,0.0002085,0.0001762,0.0001381,9.943e-05,6.496e-05,3.713e-05,1.909e-05,8.078e-06,2.721e-06,6.839e-07,1.227e-07,2.051e-08,7.393e-09,4.536e-09,2.983e-09,1.803e-09
295.5,0.0007007,0.0006807,0.0006235,0.0005368,0.0004323,0.000323,0.0002214,0.000137,7.484e-05,3.498e-05,1.339e-05,3.959e-06,8.6e-07,1.579e-07,4.954e-08,2.87e-08,1.858e-08,1.115e-08
296.5,0.001396,0.00136,0.001257,0.0011,0.0009057,0.0006977,0.0004977,0.0003241,0.000189,9.594e-05,4.081e-05,1.381e-05,3.526e-06,7.237e-07,2.046e-07,1.098e-07,6.983e-08,4.155e-08
297.5,0.003005,0.002936,0.002735,0.002425,0.002037,0.001612,0.001191,0.0008109,0.0005005,0.0002732,0.0001275,4.853e-05,1.431e-05,3.314e-06,8.781e-07,4.269e-07,2.649e-07,1.56e-07
298.5,0.003951,0.003869,0.003629,0.003254,0.00278,0.00225,0.001712,0.001211,0.0007838,0.0004547,0.0002293,9.642e-05,3.214e-05,8.368e-06,2.172e-06,9.465e-07,5.688e-07,3.309e-07
299.5,0.009661,0.009479,0.008948,0.008112,0.007039,0.00582,0.004552,0.003336,0.00226,0.001388,0.0007533,0.0003478,0.0001303,3.833e-05,1.013e-05,3.909e-06,2.236e-06,1.28e-06
300.5,0.009725,0.009557,0.009065,0.008287,0.007279,0.006117,0.004887,0.003681,0.002581,0.001657,0.0009507,0.0004715,0.0001933,6.286e-05,1.733e-05,6.095e-06,3.292e-06,1.853e-06
