sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,1.794,2.696,61.03,0.005842,10.41,0.3096,1.174,1.644
5.0,1.779,2.675,60.72,0.005761,10.31,0.3061,1.166,1.634
10.0,1.731,2.609,59.81,0.005533,10.0,0.2951,1.143,1.603
15.0,1.653,2.501,58.29,0.005163,9.512,0.2773,1.104,1.554
20.0,1.547,2.355,56.2,0.004679,8.855,0.2538,1.052,1.485
25.0,1.417,2.175,53.55,0.004112,8.061,0.2256,0.9865,1.401
30.0,1.268,1.965,50.37,0.003496,7.165,0.1943,0.911,1.302
35.0,1.105,1.734,46.73,0.002868,6.207,0.1615,0.827,1.191
40.0,0.9335,1.489,42.65,0.002261,5.226,0.1288,0.7368,1.07
45.0,0.7607,1.238,38.22,0.001705,4.264,0.09786,0.6429,0.9428
50.0,0.5933,0.9901,33.49,0.001222,3.356,0.07013,0.5476,0.8119
55.0,0.4382,0.755,28.57,0.0008269,2.535,0.04675,0.4534,0.6803
60.0,0.3019,0.542,23.57,0.0005232,1.824,0.02842,0.3628,0.5513
65.0,0.1897,0.3593,18.61,0.0003064,1.239,0.01533,0.278,0.4279
70.0,0.1049,0.2135,13.85,0.0001644,0.7838,0.007072,0.2012,0.3137
75.0,0.0484,0.1083,9.499,8.012e-05,0.4522,0.002697,0.1345,0.2123
80.0,0.01733,0.04301,5.738,3.513e-05,0.229,0.0008962,0.07936,0.1268
85.0,0.005016,0.01224,2.714,1.323e-05,0.09212,0.000331,0.03647,0.05942
