case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,0.5,282.3189733632561,0.9538,2.018e-08,493804600000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,1.5,276.89272701944276,0.8441,2.216e-08,489292800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,2.5,272.2597187421158,0.7454,2.49e-08,493767000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,3.5,266.80779780903083,0.6568,2.846e-08,507441800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,4.5,260.9187443699524,0.5771,3.262e-08,522572399999.99994
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,5.5,254.48546858302876,0.5056,3.711e-08,534012900000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,6.5,247.64114529667083,0.4414,4.177e-08,539250700000.00006
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,7.5,240.4716335688686,0.3838,4.656e-08,538233600000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,8.5,233.29102708640207,0.3324,5.154e-08,531892799999.99994
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,9.5,226.34776468182764,0.2866,5.71e-08,523664100000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,10.5,220.32530566907633,0.246,6.563e-08,530749810000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,11.5,215.83313896183512,0.2105,8.426e-08,595212640000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,12.5,212.22873124863955,0.1795,1.273e-07,779839800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,13.5,209.36925744436246,0.1528,2.171e-07,1147590600000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,14.5,206.9875766142628,0.1298,3.734e-07,1695982800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,15.5,205.34194761968845,0.11,6.038e-07,2342744000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,16.5,205.47824783106861,0.09325,9.152e-07,3008262400000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,17.5,207.2527272480453,0.07909,1.306e-06,3609784000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,18.5,209.61568418513463,0.0672,1.777e-06,4126194000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,19.5,211.80874924206717,0.0572,2.32e-06,4537920000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,20.5,213.6522942299495,0.04876,2.923e-06,4831719000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,21.5,215.37490184481558,0.04163,3.581e-06,5013400000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,22.5,217.10605809663042,0.03558,4.284e-06,5085108000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,23.5,218.8699225382698,0.03046,5.019e-06,5059152000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,24.5,220.68822142031507,0.0261,5.767e-06,4940012200000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,25.5,222.5549239496491,0.0224,6.509e-06,4745061000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,26.5,224.37589706110148,0.01925,7.22e-06,4486508000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,27.5,226.18063689538198,0.01656,7.867e-06,4171870099999.9995
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,28.5,228.01056532956022,0.01427,8.416e-06,3814972800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,29.5,229.8555479568224,0.01231,8.837e-06,3427872300000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,30.5,231.90595357079624,0.01063,9.097e-06,3020204000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,31.5,234.01541294706132,0.009192,9.177e-06,2610856500000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,32.5,236.540325056234,0.007962,9.071e-06,2211509800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,33.5,239.25010690716275,0.006907,8.805e-06,1841125500000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,34.5,242.0507184703319,0.006002,8.412e-06,1510795200000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,35.5,244.9014755714728,0.005224,7.933e-06,1225648500000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,36.5,247.6856659201339,0.004555,7.399e-06,985546800000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,37.5,250.48081515035443,0.003977,6.822e-06,784530000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,38.5,253.10008494711988,0.003478,6.22e-06,619076600000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,39.5,255.79232686211708,0.003046,5.618e-06,484552500000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,40.5,258.352919755155,0.002672,5.052e-06,378445320000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,41.5,260.73360182031075,0.002346,4.535e-06,295545950000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,42.5,262.6627717916693,0.002062,4.088e-06,232443679999.99997
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,43.5,264.56010236692407,0.001815,3.691e-06,183405790000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,44.5,265.64762186439737,0.001598,3.351e-06,146003070000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,45.5,266.6170584727897,0.001408,3.044e-06,116433000000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,46.5,266.95950134854587,0.001241,2.777e-06,93501590000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,47.5,267.1547452645877,0.001094,2.535e-06,75188100000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,48.5,266.7458874399587,0.0009649,2.322e-06,60836400000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,49.5,266.18073149698995,0.0008504,2.128e-06,49241920000.00001
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,50.5,264.9979398275738,0.0007492999999999999,1.954e-06,40017920000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,51.5,263.59139252526967,0.0006598,1.796e-06,32561480000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,52.5,262.0105097578055,0.0005806,1.651e-06,26498550000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,53.5,260.02366022773407,0.0005105,1.517e-06,21571740000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,54.5,257.9625082916839,0.0004484,1.393e-06,17537870000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,55.5,255.61514780822498,0.0003935,1.278e-06,14249700000.000002
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,56.5,253.25790831868616,0.00034480000000000003,1.169e-06,11527509000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,57.5,250.5936606374926,0.0003018,1.068e-06,9316164000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,58.5,247.75617506889665,0.0002638,9.723e-07,7498377600.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,59.5,245.01411719212598,0.00023030000000000001,8.81e-07,5997848000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,60.5,241.95501840426442,0.0002006,7.947e-07,4772173500.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,61.5,238.96735773283538,0.0001745,7.126e-07,3768941400.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,62.5,236.03489471875577,0.0001516,6.35e-07,2954020000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,63.5,233.09486304375343,0.0001314,5.618e-07,2293829400.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,64.5,230.0993986235649,0.0001137,4.93e-07,1764447000.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,65.5,227.25947732218515,9.824e-05,4.278e-07,1339441800.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,66.5,224.41552026837658,8.471e-05,3.656e-07,999550400.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,67.5,221.60511134052473,7.290999999999999e-05,3.066e-07,730627800.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,68.5,218.75586939476398,6.264e-05,2.526e-07,523892400.00000006
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,69.5,216.0021912362599,5.371e-05,2.052e-07,369565200.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,70.5,213.5723891099135,4.597e-05,1.658e-07,258482199.99999997
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,71.5,211.05629218846295,3.9280000000000003e-05,1.349e-07,181845200.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,72.5,208.63242673029865,3.35e-05,1.109e-07,128976700.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,73.5,206.79699581285266,2.8519999999999998e-05,9.169e-08,91589141.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,74.5,204.97378342159882,2.425e-05,7.66e-08,65638540.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,75.5,203.4431314840774,2.0600000000000003e-05,6.379e-08,46783586.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,76.5,202.6686803591769,1.7480000000000002e-05,5.178e-08,32346966.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,77.5,201.88230778204178,1.482e-05,4.328e-08,23011976.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,78.5,201.30938190188405,1.256e-05,4.831e-08,21831289.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,79.5,201.56163050908057,1.065e-05,8.151e-08,31193877.000000004
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,80.5,201.7125945010068,9.026e-06,1.444e-07,46800040.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,81.5,202.00602536171104,7.653e-06,2.256e-07,61904640.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,82.5,202.67829564711707,6.492e-06,3.123e-07,72453600.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,83.5,203.304979844014,5.51e-06,3.968e-07,77891840.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,84.5,203.95368240112413,4.68e-06,4.737e-07,78728940.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,85.5,204.09674537047994,3.976e-06,5.408e-07,76306880.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,86.5,204.40062158047493,3.378e-06,5.915e-07,70802550.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,87.5,204.26884431778595,2.871e-06,6.275e-07,63879500.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,88.5,203.83907796006233,2.44e-06,6.534e-07,56649780.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,89.5,203.34070801395924,2.073e-06,6.616e-07,48852544.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,90.5,202.66499377154628,1.76e-06,6.554e-07,41224660.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,91.5,201.7713583994712,1.494e-06,6.391e-07,34274933.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,92.5,200.80620664819645,1.267e-06,6.098e-07,27867860.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,93.5,199.78682168922452,1.073e-06,5.69e-07,22134100.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,94.5,199.08860595948855,9.09e-07,5.19e-07,17163330.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,95.5,198.4145892521438,7.695e-07,4.648e-07,13056232.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,96.5,198.26071458786024,6.512e-07,4.035e-07,9599265.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,97.5,198.7220183395323,5.512e-07,3.39e-07,6810510.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,98.5,199.35251396741947,4.6679999999999997e-07,2.806e-07,4758976.0
pal100,100% PAL,kasting,OUTPUT_PLOT.dat,334.9828,99.5,201.3179585848736,3.958e-07,2.23e-07,3175520.0
