sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,1.755,2.649,61.0,0.00556,10.12,0.2973,1.163,1.632
5.0,1.736,2.625,60.69,0.005483,10.02,0.2935,1.155,1.622
10.0,1.692,2.562,59.78,0.005264,9.727,0.283,1.132,1.592
15.0,1.615,2.456,58.26,0.004913,9.25,0.2659,1.093,1.543
20.0,1.511,2.312,56.17,0.004452,8.612,0.2432,1.042,1.476
25.0,1.384,2.134,53.52,0.003913,7.841,0.2161,0.9776,1.392
30.0,1.236,1.927,50.35,0.003326,6.968,0.1859,0.903,1.294
35.0,1.077,1.701,46.7,0.00273,6.042,0.1544,0.8202,1.184
40.0,0.9096,1.459,42.63,0.002153,5.09,0.123,0.7312,1.064
45.0,0.7404,1.212,38.19,0.001624,4.155,0.09329,0.6383,0.9383
50.0,0.5769,0.9678,33.47,0.001166,3.273,0.06678,0.5441,0.8084
55.0,0.4255,0.7382,28.55,0.00079,2.476,0.04443,0.4509,0.6778
60.0,0.2927,0.5293,23.55,0.0005009,1.784,0.02696,0.361,0.5495
65.0,0.1836,0.3505,18.59,0.0002944,1.215,0.01452,0.2769,0.4268
70.0,0.1015,0.2081,13.84,0.0001589,0.7705,0.006697,0.2005,0.3131
75.0,0.04684,0.1056,9.491,7.807e-05,0.4462,0.002572,0.1341,0.2119
80.0,0.01695,0.04218,5.733,3.464e-05,0.2272,0.0008757,0.07921,0.1267
85.0,0.005074,0.01232,2.713,1.318e-05,0.09208,0.0003302,0.03645,0.05939
