sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.589,4.431,64.54,0.0121,16.09,0.5558,1.366,1.819
5.0,2.567,4.398,64.22,0.01194,15.92,0.5495,1.356,1.807
10.0,2.504,4.301,63.26,0.01146,15.45,0.5312,1.326,1.771
15.0,2.399,4.141,61.66,0.0107,14.67,0.5015,1.277,1.711
20.0,2.258,3.923,59.46,0.00971,13.64,0.4619,1.211,1.63
25.0,2.083,3.652,56.68,0.008541,12.39,0.4144,1.13,1.529
30.0,1.881,3.338,53.35,0.007269,10.99,0.361,1.036,1.413
35.0,1.658,2.986,49.51,0.005966,9.48,0.3044,0.9326,1.283
40.0,1.421,2.607,45.22,0.004703,7.94,0.2471,0.8227,1.144
45.0,1.178,2.213,40.55,0.003541,6.429,0.192,0.7098,0.9988
50.0,0.9393,1.816,35.58,0.002529,5.01,0.1413,0.597,0.8516
55.0,0.7129,1.43,30.39,0.001696,3.732,0.09732,0.4876,0.706
60.0,0.508,1.069,25.1,0.001056,2.636,0.0615,0.3844,0.5658
65.0,0.3328,0.7463,19.85,0.0005997,1.745,0.03467,0.2901,0.4344
70.0,0.1938,0.4741,14.81,0.0003051,1.066,0.0167,0.2069,0.3152
75.0,0.09461,0.2618,10.17,0.0001366,0.5873,0.006482,0.1365,0.2113
80.0,0.03493,0.1148,6.154,5.393e-05,0.2808,0.001993,0.07966,0.1254
85.0,0.009,0.0331,2.914,1.918e-05,0.1068,0.0006483,0.0363,0.0584
