wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,1.057e-12,9.577e-13,7.101e-13,4.261e-13,2.029e-13,7.443e-14,2.013e-14,3.772e-15,4.48e-16,2.965e-17,9.043e-19,9.86e-21,1.384e-22,6.415e-23,4.382e-23,3.111e-23,2.14e-23,1.297e-23
281.5,2.422e-11,2.214e-11,1.685e-11,1.058e-11,5.374e-12,2.153e-12,6.532e-13,1.419e-13,2.035e-14,1.715e-15,7.142e-17,1.17e-18,1.909e-20,7.964e-21,5.419e-21,3.847e-21,2.648e-21,1.605e-21
282.5,2.432e-10,2.24e-10,1.744e-10,1.137e-10,6.11e-11,2.639e-11,8.84e-12,2.18e-12,3.676e-13,3.808e-14,2.073e-15,4.81e-17,9.269e-19,3.424e-19,2.319e-19,1.646e-19,1.134e-19,6.874e-20
283.5,9.85e-10,9.114e-10,7.199e-10,4.813e-10,2.682e-10,1.217e-10,4.346e-11,1.164e-11,2.179e-12,2.583e-13,1.673e-14,4.865e-16,1.063e-17,3.56e-18,2.401e-18,1.704e-18,1.174e-18,7.122e-19
284.5,7.588e-09,7.083e-09,5.745e-09,4.019e-09,2.392e-09,1.187e-09,4.763e-10,1.481e-10,3.359e-11,5.085e-12,4.518e-13,1.984e-14,5.747e-16,1.561e-16,1.039e-16,7.361e-17,5.076e-17,3.081e-17
285.5,2.145e-08,2.015e-08,1.667e-08,1.206e-08,7.537e-09,3.995e-09,1.748e-09,6.072e-10,1.586e-10,2.877e-11,3.23e-12,1.921e-13,7.12e-15,1.617e-15,1.058e-15,7.483e-16,5.163e-16,3.136e-16
286.5,2.147e-07,2.027e-07,1.703e-07,1.264e-07,8.201e-08,4.573e-08,2.138e-08,8.088e-09,2.355e-09,4.91e-10,6.595e-11,4.954e-12,2.264e-13,4.44e-14,2.843e-14,2.006e-14,1.385e-14,8.418e-15
287.5,1.024e-06,9.718e-07,8.298e-07,6.339e-07,4.288e-07,2.529e-07,1.273e-07,5.292e-08,1.739e-08,4.229e-09,6.931e-10,6.742e-11,3.968e-12,6.646e-13,4.084e-13,2.871e-13,1.981e-13,1.205e-13
288.5,4.199e-06,4.01e-06,3.487e-06,2.748e-06,1.945e-06,1.22e-06,6.648e-07,3.063e-07,1.147e-07,3.299e-08,6.715e-09,8.65e-10,6.849e-11,9.944e-12,5.639e-12,3.936e-12,2.715e-12,1.653e-12
289.5,1.991e-05,1.909e-05,1.682e-05,1.355e-05,9.907e-06,6.491e-06,3.746e-06,1.858e-06,7.641e-07,2.477e-07,5.885e-08,9.262e-09,9.164e-10,1.245e-10,6.418e-11,4.444e-11,3.062e-11,1.866e-11
