sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.432,3.438,61.44,0.01216,15.83,0.5453,1.393,1.863
5.0,2.412,3.411,61.13,0.012,15.68,0.5394,1.383,1.85
10.0,2.351,3.332,60.21,0.01151,15.21,0.5213,1.353,1.813
15.0,2.252,3.202,58.69,0.01075,14.45,0.4921,1.303,1.753
20.0,2.118,3.024,56.59,0.009743,13.44,0.4532,1.237,1.671
25.0,1.952,2.805,53.93,0.008563,12.22,0.4063,1.155,1.569
30.0,1.76,2.55,50.75,0.007279,10.83,0.3539,1.06,1.45
35.0,1.549,2.266,47.08,0.005967,9.356,0.2982,0.9548,1.318
40.0,1.324,1.963,42.99,0.004696,7.844,0.242,0.8434,1.177
45.0,1.096,1.649,38.54,0.00353,6.359,0.1879,0.7286,1.029
50.0,0.8702,1.336,33.79,0.002516,4.962,0.1382,0.6139,0.8782
55.0,0.6579,1.036,28.84,0.001685,3.703,0.09512,0.5024,0.7293
60.0,0.4662,0.7585,23.81,0.001047,2.621,0.06008,0.3969,0.5854
65.0,0.3031,0.5151,18.81,0.000595,1.74,0.03386,0.3002,0.4502
70.0,0.1746,0.315,14.02,0.0003034,1.066,0.01631,0.2146,0.3271
75.0,0.0838,0.1646,9.625,0.0001367,0.5892,0.00634,0.1418,0.2196
80.0,0.0302,0.06651,5.819,5.426e-05,0.2825,0.001952,0.08288,0.1304
85.0,0.007723,0.0177,2.75,1.926e-05,0.1074,0.0006347,0.03781,0.06076
