wavelength_nm,irradiance_col1
280.5,3.527e-18
281.5,2.466e-16
282.5,6.447e-15
283.5,4.861e-14
284.5,1.16e-12
285.5,7.571e-12
286.5,1.441e-10
287.5,1.401e-09
288.5,1.248e-08
289.5,1.029e-07
290.5,5.804e-07
291.5,2.692e-06
292.5,8.805e-06
293.5,3.384e-05
294.5,8.033e-05
295.5,0.0002548
296.5,0.0005394
297.5,0.001223
298.5,0.001679
299.5,0.00427
300.5,0.004431
301.5,0.009809
302.5,0.01313
303.5,0.02436
304.5,0.02799
305.5,0.03975
306.5,0.04282
307.5,0.06553
308.5,0.07507
309.5,0.06879
310.5,0.09633
311.5,0.1262
312.5,0.1272
313.5,0.1455
314.5,0.1494
315.5,0.1551
316.5,0.1577
317.5,0.2232
318.5,0.1789
319.5,0.2192
320.5,0.2679
321.5,0.2313
322.5,0.2302
323.5,0.2418
324.5,0.2837
325.5,0.3174
326.5,0.389
327.5,0.3611
328.5,0.3336
329.5,0.4362
330.5,0.3955
331.5,0.3907
332.5,0.3871
333.5,0.3631
334.5,0.4063
335.5,0.4131
336.5,0.3229
337.5,0.354
338.5,0.3747
339.5,0.4077
340.5,0.4356
341.5,0.3876
342.5,0.4296
343.5,0.4463
344.5,0.3128
345.5,0.4292
346.5,0.4013
347.5,0.3923
348.5,0.4314
349.5,0.3617
350.5,0.5066
351.5,0.4368
352.5,0.3941
353.5,0.4746
354.5,0.5139
355.5,0.4804
356.5,0.4459
357.5,0.3793
358.5,0.2928
359.5,0.493
360.5,0.4571
361.5,0.4122
362.5,0.4842
363.5,0.4309
364.5,0.4702
365.5,0.5731
366.5,0.6067
367.5,0.5763
368.5,0.5064
369.5,0.6076
370.5,0.5514
371.5,0.6311
372.5,0.4663
373.5,0.4216
374.5,0.4629
375.5,0.5224
376.5,0.5218
377.5,0.6216
378.5,0.6777
379.5,0.5015
380.5,0.6033
381.5,0.5671
382.5,0.378
383.5,0.332
384.5,0.4984
385.5,0.4933
386.5,0.503
387.5,0.4676
388.5,0.4688
389.5,0.5914
390.5,0.5811
391.5,0.6896
392.5,0.5173
393.5,0.2249
394.5,0.5295
395.5,0.6815
396.5,0.4003
397.5,0.4621
398.5,0.7942
399.5,0.8263
400.5,0.869
401.5,0.8944
402.5,0.9288
403.5,0.8504
404.5,0.8344
405.5,0.867
406.5,0.8169
407.5,0.8238
408.5,0.9178
409.5,0.9
410.5,0.7808
411.5,0.9387
412.5,0.9307
413.5,0.903
414.5,0.9283
415.5,0.8882
416.5,0.967
417.5,0.8843
418.5,0.8915
419.5,0.9212
