case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,0.2948738871088996,286.13477810339566,0.992556095123291,1.3454293502366003e-08,338035279478.4478
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,0.43326816920503924,285.4357436895158,0.976325407391414,1.4083114798534515e-08,348900563912.8307
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,0.5959730548233602,284.4085214616136,0.957485479535535,1.4291306682072517e-08,348480313070.98126
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,0.782892142238291,283.1311799632586,0.9361983984708786,1.4469198915040553e-08,346530447507.1292
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,0.9936548415703682,281.73333935651874,0.912644546944648,1.4676627639040786e-08,344355016022.7204
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,1.2279074405514994,280.2652705411372,0.8870202489197254,1.4944430512749922e-08,342578683829.0318
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,1.4853292062467336,278.8033164717592,0.8595347665250301,1.5284694466490302e-08,341302124264.56903
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,1.859750332488778,276.94074199660133,0.8208583686500788,1.578981299642635e-08,338980786185.0113
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,2.4447677815782507,274.4655681486555,0.763404481112957,1.6790473286707142e-08,338256764633.9425
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,3.233214139641861,270.41948646547837,0.6913894303143024,1.785673625255601e-08,330676668537.5369
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,4.214045120372501,264.9018116440742,0.6097786948084831,1.9152699412923975e-08,319325814124.17426
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,5.358761346234252,257.96845724256104,0.5246871747076511,2.0717916953857765e-08,305208516094.3316
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,6.558287265858871,249.88478270430778,0.445992574095726,2.2901126399124408e-08,296047487154.2896
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,7.717507355739886,241.6217028756481,0.37910090386867523,2.6683187282807153e-08,303230792432.4056
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,8.836334760626526,233.49132042573302,0.3222419023513794,3.510645227417594e-08,350925504067.8173
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,9.916745421118558,226.10238235382022,0.2739108167588711,5.40954453546331e-08,474658718590.5126
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,10.963351760074007,219.98363122104146,0.23282861895859241,8.984188186341505e-08,688718189456.553
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,11.98256619165037,215.3681939144597,0.1979080867022276,1.3869006365363063e-07,923089984644.12
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,12.989630327950678,211.80426786238036,0.16822507977485657,1.9349764906054067e-07,1113136557864.7227
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,13.990325694013546,208.87198949892763,0.14299403876066208,2.5662421876392094e-07,1272483286690.8262
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,14.978486668374714,206.55152262174093,0.12154724076390266,3.4390408353209656e-07,1465786621945.699
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,15.957757472650178,205.15962419261393,0.10331712663173676,4.812935543497033e-07,1755525682600.3142
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,16.934093797632592,205.36062688615385,0.08782123029232025,6.963271806201932e-07,2156812543739.5518
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,17.991273659523003,207.31460557561877,0.07375095784664154,1.0595675834910091e-06,2730128858540.2354
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,19.096411449376987,209.9004854272457,0.061520498245954514,1.554781983407305e-06,3300597891599.998
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,20.173813665935135,212.18335373667833,0.05167749896645546,2.1320169011440493e-06,3760949811159.2974
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,21.293214216749867,214.17626843230673,0.0431937500834465,2.7689765928927154e-06,4044693018151.5977
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,22.454598956206915,216.21405294851513,0.035923250019550323,3.5213656953440466e-06,4237595996072.7812
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,23.658978677725173,218.36209472481153,0.0297279991209507,4.364048715552895e-06,4303231743575.8765
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,24.907655047076087,220.65690833302773,0.02447899989783764,5.264300396979575e-06,4229933330993.586
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,26.201993354494455,223.05641419711532,0.020056750625371933,6.155456934429548e-06,4008878306120.2
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,27.542929779062582,225.41980633840305,0.01635175058618188,6.857540239023815e-06,3602941941211.356
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,28.931244765010618,227.82212711158326,0.013264750130474567,7.358473030804958e-06,3103184454176.3027
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,30.368443328647132,230.47404492291838,0.01070705009624362,7.649665907453742e-06,2573990834710.351
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,31.85780071867448,233.7138672616345,0.00859972508624196,7.782976134199092e-06,2074256703784.6692
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,33.40448542175701,237.65245556488605,0.006872850004583597,7.723123479065728e-06,1617723355628.0984
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,35.01393648235927,242.17945614304267,0.005465399939566851,7.552520075321575e-06,1234506138423.8018
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,36.69010567432636,246.9193361608821,0.004324574954807758,7.252459674053427e-06,920005382330.4995
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,38.435378656882285,251.73535420214986,0.0034048750530928373,6.793792154290681e-06,665558048941.9406
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,40.25180660042143,256.6477950695698,0.0026674249675124884,6.123782759960559e-06,460989642254.0443
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,42.140058217002114,261.27489054214226,0.0020793249714188278,5.279992070310642e-06,304350964478.08923
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,44.096792199575006,264.899534061405,0.0016128499992191792,4.3960061740015845e-06,193859815445.16943
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,46.1136051078814,266.92854330946074,0.0012447949848137796,3.5936872466308444e-06,121383542854.42809
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,48.1789172054865,267.33925177039146,0.0009559475001879036,2.913461237455415e-06,75456607448.56882
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,50.27992522198677,266.0452617504276,0.0007304799801204354,2.3706482050272085e-06,47145106143.167206
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,52.431624313960675,263.1115241046034,0.0005534699885174632,1.9451910345421594e-06,29636927845.329338
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,54.72633970160011,258.67906126214916,0.00041016750037670135,1.5983659640419974e-06,18356628135.8655
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,57.27831325552921,252.59454300389666,0.00029202500445535406,1.305199142735069e-06,10929230174.616146
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,60.11292969875432,244.59643355199427,0.00019811999663943425,1.066429514746073e-06,6256436847.448379
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,63.179956671558145,235.50477835349014,0.00012827324826503173,8.781131494921681e-07,3464204864.1618567
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,66.38871954311622,226.21468243037427,7.991075108293444e-05,7.191699793954186e-07,1840062992.2892544
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,69.6041464910052,216.98715776502422,4.873074976785574e-05,5.574228284287043e-07,906714435.8660325
pal100,100% PAL,waccm,Earth_100pc_o2.cam.h0.0009-0012.nc,279.6424,72.7254673350704,208.90446725738187,2.9557750167441554e-05,3.7543025958690935e-07,384742035.1532149
