sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.535,4.365,64.51,0.01145,15.57,0.5338,1.346,1.799
5.0,2.514,4.333,64.19,0.0113,15.41,0.5278,1.336,1.787
10.0,2.451,4.237,63.22,0.01085,14.95,0.5101,1.306,1.751
15.0,2.349,4.079,61.63,0.01014,14.21,0.4816,1.259,1.692
20.0,2.21,3.865,59.43,0.009198,13.21,0.4436,1.194,1.613
25.0,2.039,3.598,56.65,0.008096,12.01,0.3978,1.114,1.514
30.0,1.841,3.287,53.32,0.006895,10.65,0.3466,1.023,1.399
35.0,1.622,2.94,49.48,0.005664,9.195,0.2922,0.9212,1.272
40.0,1.39,2.567,45.2,0.004471,7.708,0.2372,0.8134,1.135
45.0,1.152,2.178,40.53,0.003372,6.249,0.1843,0.7025,0.9915
50.0,0.9182,1.788,35.56,0.002413,4.877,0.1357,0.5915,0.8461
55.0,0.6967,1.408,30.37,0.001623,3.64,0.09345,0.4837,0.7022
60.0,0.4964,1.052,25.08,0.001013,2.577,0.0591,0.3819,0.5633
65.0,0.3252,0.7346,19.84,0.0005779,1.71,0.03334,0.2886,0.4329
70.0,0.1894,0.4667,14.8,0.0002951,1.048,0.01606,0.2061,0.3143
75.0,0.09232,0.2577,10.16,0.0001323,0.5784,0.006208,0.136,0.2109
80.0,0.03381,0.1126,6.15,5.179e-05,0.2763,0.001865,0.07941,0.1251
85.0,0.008409,0.03187,2.912,1.791e-05,0.1042,0.0005751,0.03615,0.05825
