wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,3.694e-12,3.363e-12,2.528e-12,1.553e-12,7.651e-13,2.941e-13,8.463e-14,1.722e-14,2.284e-15,1.765e-16,6.806e-18,1.147e-19,3.626e-21,1.699e-21,1.181e-21,8.776e-22,6.491e-22,4.392e-22
281.5,7.285e-11,6.685e-11,5.151e-11,3.3e-11,1.729e-11,7.22e-12,2.316e-12,5.417e-13,8.584e-14,8.32e-15,4.293e-16,1.044e-17,3.723e-19,1.613e-19,1.11e-19,8.212e-20,6.057e-20,4.09e-20
282.5,6.458e-10,5.968e-10,4.696e-10,3.12e-10,1.723e-10,7.728e-11,2.722e-11,7.175e-12,1.325e-12,1.56e-13,1.033e-14,3.438e-16,1.392e-17,5.537e-18,3.772e-18,2.777e-18,2.043e-18,1.376e-18
283.5,2.408e-09,2.236e-09,1.784e-09,1.213e-09,6.934e-10,3.258e-10,1.219e-10,3.473e-11,7.08e-12,9.458e-13,7.362e-14,2.998e-15,1.332e-16,4.958e-17,3.35e-17,2.457e-17,1.803e-17,1.213e-17
284.5,1.633e-08,1.529e-08,1.251e-08,8.883e-09,5.406e-09,2.765e-09,1.156e-09,3.8e-10,9.291e-11,1.566e-11,1.641e-12,9.718e-14,5.349e-15,1.732e-15,1.147e-15,8.343e-16,6.095e-16,4.089e-16
285.5,4.185e-08,3.942e-08,3.286e-08,2.409e-08,1.536e-08,8.366e-09,3.797e-09,1.386e-09,3.876e-10,7.747e-11,1.01e-11,7.874e-13,5.208e-14,1.502e-14,9.721e-15,7.018e-15,5.104e-15,3.415e-15
286.5,3.889e-07,3.68e-07,3.113e-07,2.339e-07,1.545e-07,8.831e-08,4.269e-08,1.69e-08,5.237e-09,1.194e-09,1.84e-10,1.769e-11,1.368e-12,3.593e-13,2.268e-13,1.626e-13,1.178e-13,7.859e-14
287.5,1.717e-06,1.633e-06,1.404e-06,1.084e-06,7.449e-07,4.493e-07,2.33e-07,1.009e-07,3.506e-08,9.248e-09,1.718e-09,2.087e-10,1.957e-11,4.653e-12,2.821e-12,2.002e-12,1.442e-12,9.588e-13
288.5,6.461e-06,6.181e-06,5.405e-06,4.298e-06,3.084e-06,1.972e-06,1.103e-06,5.268e-07,2.073e-07,6.403e-08,1.456e-08,2.277e-09,2.687e-10,5.849e-11,3.312e-11,2.318e-11,1.656e-11,1.096e-11
289.5,2.885e-05,2.771e-05,2.453e-05,1.993e-05,1.475e-05,9.829e-06,5.807e-06,2.973e-06,1.278e-06,4.42e-07,1.16e-07,2.173e-08,3.051e-09,6.37e-10,3.36e-10,2.318e-10,1.643e-10,1.082e-10
290.5,9.703e-05,9.353e-05,8.366e-05,6.918e-05,5.254e-05,3.627e-05,2.243e-05,1.218e-05,5.641e-06,2.144e-06,6.35e-07,1.383e-07,2.262e-08,4.664e-09,2.275e-09,1.544e-09,1.086e-09,7.117e-10
291.5,0.0002512,0.0002431,0.0002201,0.0001857,0.0001452,0.0001043,6.796e-05,3.943e-05,1.988e-05,8.413e-06,2.856e-06,7.382e-07,1.448e-07,3.049e-08,1.334e-08,8.795e-09,6.12e-09,3.982e-09
292.5,0.0005111,0.0004962,0.0004535,0.0003891,0.0003117,0.0002313,0.0001572,9.631e-05,5.203e-05,2.404e-05,9.125e-06,2.711e-06,6.2e-07,1.37e-07,5.416e-08,3.44e-08,2.365e-08,1.527e-08
293.5,0.00126,0.001227,0.001132,0.0009865,0.0008085,0.0006187,0.0004377,0.0002822,0.0001627,8.166e-05,3.442e-05,1.167e-05,3.095e-06,7.365e-07,2.646e-07,1.592e-07,1.078e-07,6.897e-08
294.5,0.002108,0.002058,0.001911,0.001686,0.001406,0.001102,0.000804,0.00054,0.0003275,0.0001752,8.011e-05,3.006e-05,8.97e-06,2.304e-06,7.757e-07,4.391e-07,2.926e-07,1.854e-07
295.5,0.004649,0.004549,0.004258,0.003805,0.003235,0.002601,0.001963,0.001375,0.0008801,0.0005044,0.0002515,0.0001053,3.573e-05,1.016e-05,3.264e-06,1.69e-06,1.097e-06,6.862e-07
296.5,0.007259,0.007118,0.006705,0.006057,0.00523,0.004295,0.003332,0.002417,0.001618,0.0009813,0.0005256,0.0002407,9.097e-05,2.852e-05,9.053e-06,4.275e-06,2.685e-06,1.655e-06
297.5,0.01264,0.01241,0.01176,0.01072,0.009388,0.007855,0.006243,0.004671,0.003252,0.002072,0.001182,0.0005856,0.0002436,8.399e-05,2.71e-05,1.17e-05,7.023e-06,4.259e-06
298.5,0.01388,0.01365,0.01299,0.01194,0.01058,0.00899,0.007291,0.005599,0.004029,0.002676,0.001608,0.0008513,0.000384,0.0001443,4.825e-05,1.937e-05,1.099e-05,6.542e-06
299.5,0.02872,0.0283,0.02705,0.02505,0.02243,0.01935,0.016,0.01259,0.009348,0.006458,0.00408,0.0023,0.001122,0.0004597,0.0001623,6.157e-05,3.241e-05,1.882e-05
