sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.457,3.466,61.46,0.01275,16.19,0.5602,1.408,1.878
5.0,2.437,3.44,61.15,0.01258,16.03,0.5539,1.398,1.865
10.0,2.376,3.36,60.23,0.01208,15.55,0.5355,1.367,1.828
15.0,2.277,3.23,58.71,0.01126,14.77,0.5054,1.317,1.766
20.0,2.143,3.053,56.61,0.01023,13.75,0.4663,1.25,1.684
25.0,1.977,2.834,53.95,0.008999,12.51,0.4188,1.167,1.581
30.0,1.785,2.579,50.77,0.007662,11.11,0.3655,1.071,1.462
35.0,1.574,2.296,47.11,0.006296,9.61,0.3089,0.9652,1.329
40.0,1.35,1.993,43.02,0.004974,8.076,0.2519,0.8529,1.186
45.0,1.122,1.681,38.56,0.00376,6.57,0.1969,0.7373,1.037
50.0,0.8969,1.369,33.82,0.002704,5.153,0.1463,0.6218,0.8861
55.0,0.6844,1.069,28.88,0.001837,3.874,0.1024,0.5095,0.7364
60.0,0.4925,0.7922,23.84,0.001167,2.772,0.06638,0.4033,0.5918
65.0,0.3286,0.5486,18.85,0.0006868,1.871,0.03913,0.3058,0.4558
70.0,0.1981,0.3472,14.06,0.0003702,1.175,0.02043,0.2194,0.3319
75.0,0.1037,0.1934,9.671,0.0001815,0.6735,0.0092,0.1457,0.2235
80.0,0.04437,0.08875,5.867,8.113e-05,0.3403,0.003611,0.08589,0.1334
85.0,0.01494,0.03029,2.793,3.297e-05,0.1395,0.00141,0.03983,0.06278
