case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,0.5,282.67704375100243,0.9554,1.391e-08,340516800000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,1.5,277.25920635415827,0.8456,1.521e-08,335988899999.99994
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,2.5,272.67009467894235,0.7469,1.756e-08,348390400000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,3.5,267.22663641577776,0.6582,2.126e-08,379278400000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,4.5,261.38854919083553,0.5785,2.625e-08,420787500000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,5.5,254.96262184587746,0.5069,3.243e-08,466992000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,6.5,248.17825444666195,0.4427,3.972e-08,513182400000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,7.5,241.07760982947048,0.3851,4.806e-08,556054200000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,8.5,233.90657929824945,0.3336,5.746e-08,593561800000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,9.5,226.94903805294382,0.2878,6.847e-08,628896950000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,10.5,220.90836663356797,0.2472,8.567e-08,694355350000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,11.5,216.12419076501737,0.2115,1.226e-07,868988800000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,12.5,212.3568797486757,0.1804,2.038e-07,1253981400000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,13.5,209.22016827476997,0.1535,3.605e-07,1915697000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,14.5,206.6703184445526,0.1304,6.071e-07,2774447000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,15.5,204.7450094710696,0.1105,9.293e-07,3632633700000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,16.5,204.19940972931823,0.0936,1.306e-06,4335920000000.0005
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,17.5,204.76115292670625,0.07927,1.705e-06,4780820000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,18.5,205.45199728141947,0.06717,2.099e-06,4970432000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,19.5,205.93468341910807,0.05695,2.465e-06,4937395000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,20.5,206.27091740844818,0.0483,2.785e-06,4723360000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,21.5,206.69702767918935,0.04098,3.051e-06,4381236000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,22.5,207.39336975557927,0.03479,3.254e-06,3953610000000.0
pal10,10% PAL,kasting,OUTPUT_PLOT.dat,238.8993,23.5,208.2001738803304,0.02955,3.382e-06,3476696000000.0
