sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,2.372,4.168,64.43,0.009773,14.13,0.4716,1.289,1.742
5.0,2.352,4.137,64.11,0.009639,13.99,0.4661,1.279,1.73
10.0,2.293,4.044,63.15,0.009259,13.57,0.4504,1.252,1.696
15.0,2.196,3.893,61.56,0.008646,12.9,0.4248,1.207,1.64
20.0,2.065,3.687,59.36,0.007845,12.0,0.3908,1.146,1.564
25.0,1.903,3.431,56.58,0.006904,10.91,0.35,1.071,1.47
30.0,1.716,3.133,53.25,0.00588,9.679,0.3043,0.9841,1.361
35.0,1.51,2.801,49.42,0.004834,8.367,0.256,0.8883,1.239
40.0,1.293,2.444,45.14,0.003821,7.027,0.2075,0.7863,1.108
45.0,1.071,2.074,40.48,0.00289,5.714,0.1609,0.6811,0.9702
50.0,0.8526,1.702,35.51,0.002078,4.479,0.1183,0.5756,0.8302
55.0,0.6478,1.342,30.33,0.001412,3.368,0.08175,0.4728,0.6912
60.0,0.4634,1.006,25.05,0.0008981,2.412,0.05217,0.3752,0.5566
65.0,0.3071,0.7079,19.82,0.0005298,1.631,0.03017,0.2853,0.4296
70.0,0.1839,0.4575,14.79,0.000288,1.029,0.01546,0.2053,0.3135
75.0,0.0961,0.2629,10.17,0.0001443,0.5964,0.006957,0.1368,0.2116
80.0,0.04206,0.1269,6.169,6.714e-05,0.3078,0.002878,0.08091,0.1266
85.0,0.01529,0.04674,2.942,2.793e-05,0.1299,0.001189,0.03767,0.05977
