case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,0.6118596226748363,287.14,1.0,6.957863721568865e-09,175508817266.65417
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,1.819964636832447,280.1394983236102,0.8682540279894776,6.634313418013374e-09,148931019376.6139
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,3.0013447859470186,274.8994411508909,0.753865057119951,6.530766791029899e-09,129718121118.60828
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,4.159085315323632,269.002524469441,0.6545463724049151,6.904194284938821e-09,121678482801.86679
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,5.290803407583813,262.6467760368759,0.5683125243464682,7.740702249717615e-09,121314365893.69597
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,6.394827743982408,255.94752297382686,0.493439638420688,8.995537971854455e-09,125610794158.2249
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,7.469829111949303,248.94451951338635,0.42843095362843375,1.0639782679203415e-08,132625717233.22495
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,8.515047030291818,241.86778386589,0.3719869012032607,1.2666434085720724e-08,141097950895.76938
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,9.53042712479518,234.82591663480503,0.32297912532905493,1.5233678453379122e-08,151757418245.8669
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,10.516933869676423,228.1966896192291,0.2804279265234697,1.8897422320885276e-08,168202019973.1441
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,11.477351294491118,222.46191375764064,0.24348267676473978,2.54167838217285e-08,201488243590.44122
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,12.41593935736314,217.83450393763724,0.2114048148466453,4.1656735489207126e-08,292812864551.1077
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,13.337097137304513,214.16581660614006,0.18355308202696916,8.311453168241368e-08,515947137224.4944
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,14.244289695784104,211.1656284615425,0.15937070281979893,1.7471418238088455e-07,955058856094.2488
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,15.139867153442824,208.60210656907836,0.13837425466680442,3.220437489994412e-07,1547277448830.0007
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,16.025591367279926,206.4314704976462,0.12014400398449446,5.171338362113653e-07,2179946659881.815
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,16.90359066390558,204.86859175627967,0.10431551539832117,7.524195782359991e-07,2774919129513.027
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,17.777282413964752,204.30119934840684,0.09057236642639072,1.018936106262689e-06,3271812956641.977
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,18.650635255885486,204.5980498213036,0.07863982197425251,1.3088430943211467e-06,3643722841563.921
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,19.526020957914767,205.14105979148482,0.06827934218952017,1.6223060725471464e-06,3910985850654.3066
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,20.403918501047578,205.66134574790044,0.059283813884522765,1.9538339205965603e-06,4079320466915.4746
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,21.2839975182712,206.04890097788328,0.05147341019981531,2.2927220950096505e-06,4148401409347.4556
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,22.165779637889464,206.34465911996801,0.0446919957403443,2.6257120206189787e-06,4119080940865.029
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,23.049222756302605,206.7118908382888,0.038804005320442515,2.9369247642139006e-06,3993196064814.34
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,23.934758881678068,207.20896854794321,0.033691733921599264,3.2081817429029927e-06,3778248283076.137
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,24.82299971457117,207.86126535700384,0.029252983687378272,3.41787101671548e-06,3483926537948.961
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,25.71498949377248,208.84513087651922,0.025399020917276666,3.547771854601712e-06,3125107943105.084
pal10,10% PAL,vulcan,Earth_10pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,202.8367,26.612069485410796,210.12241684795183,0.02205280221841442,3.585591473232247e-06,2725642665422.6606
