sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.294,5.257,64.83,0.02518,24.56,0.9128,1.708,2.161
5.0,3.269,5.22,64.51,0.02485,24.31,0.903,1.695,2.145
10.0,3.194,5.111,63.54,0.02388,23.6,0.8751,1.655,2.099
15.0,3.069,4.93,61.95,0.02234,22.45,0.8295,1.59,2.024
20.0,2.9,4.682,59.75,0.0203,20.9,0.7684,1.503,1.921
25.0,2.69,4.375,56.96,0.01791,19.02,0.6948,1.396,1.795
30.0,2.446,4.015,53.62,0.0153,16.9,0.6117,1.273,1.649
35.0,2.175,3.612,49.78,0.01261,14.61,0.5223,1.137,1.488
40.0,1.887,3.178,45.48,0.01001,12.28,0.4324,0.9958,1.317
45.0,1.59,2.725,40.8,0.007609,9.978,0.3441,0.8514,1.14
50.0,1.294,2.266,35.81,0.005504,7.809,0.2617,0.709,0.9636
55.0,1.011,1.816,30.61,0.003764,5.853,0.1886,0.5728,0.7913
60.0,0.7492,1.391,25.31,0.002414,4.171,0.1272,0.4467,0.6281
65.0,0.5201,1.006,20.04,0.001438,2.801,0.07908,0.3336,0.4778
70.0,0.3314,0.6751,14.98,0.0007891,1.752,0.04444,0.2358,0.3441
75.0,0.1878,0.4082,10.32,0.0003977,1.004,0.02213,0.1548,0.2296
80.0,0.09012,0.2109,6.283,0.0001856,0.5119,0.009738,0.09058,0.1363
85.0,0.03407,0.08301,3.009,7.982e-05,0.2162,0.003951,0.04219,0.0643
