Spectral Irradiance, W m-2 nm-1
values at z =      0.000 km
Columns: wavelength (nm), solar zenith angles (deg.)
    wc, nm     48.200
  280.5000  2.051E-12
  281.5000  4.025E-11
  282.5000  3.546E-10
  283.5000  1.316E-09
  284.5000  9.004E-09
  285.5000  2.308E-08
  286.5000  2.143E-07
  287.5000  9.504E-07
  288.5000  3.586E-06
  289.5000  1.600E-05
  290.5000  5.382E-05
  291.5000  1.398E-04
  292.5000  2.845E-04
  293.5000  7.028E-04
  294.5000  1.172E-03
  295.5000  2.589E-03
  296.5000  4.035E-03
  297.5000  7.021E-03
  298.5000  7.694E-03
  299.5000  1.594E-02
  300.5000  1.403E-02
  301.5000  2.615E-02
  302.5000  3.127E-02
  303.5000  5.085E-02
  304.5000  5.410E-02
  305.5000  6.885E-02
  306.5000  7.071E-02
  307.5000  9.925E-02
  308.5000  1.098E-01
  309.5000  9.510E-02
  310.5000  1.278E-01
  311.5000  1.631E-01
  312.5000  1.569E-01
  313.5000  1.771E-01
  314.5000  1.750E-01
  315.5000  1.801E-01
  316.5000  1.777E-01
  317.5000  2.510E-01
  318.5000  1.958E-01
  319.5000  2.382E-01
  320.5000  2.893E-01
  321.5000  2.434E-01
  322.5000  2.467E-01
  323.5000  2.514E-01
  324.5000  2.950E-01
  325.5000  3.313E-01
  326.5000  3.976E-01
  327.5000  3.711E-01
  328.5000  3.430E-01
  329.5000  4.414E-01
  330.5000  4.025E-01
  331.5000  3.983E-01
  332.5000  3.901E-01
  333.5000  3.675E-01
  334.5000  4.103E-01
  335.5000  4.148E-01
  336.5000  3.247E-01
  337.5000  3.572E-01
  338.5000  3.761E-01
  339.5000  4.088E-01
  340.5000  4.377E-01
  341.5000  3.883E-01
  342.5000  4.302E-01
  343.5000  4.472E-01
  344.5000  3.137E-01
  345.5000  4.294E-01
  346.5000  4.021E-01
  347.5000  3.930E-01
  348.5000  4.319E-01
  349.5000  3.621E-01
  350.5000  5.071E-01
  351.5000  4.373E-01
  352.5000  3.945E-01
  353.5000  4.749E-01
  354.5000  5.141E-01
  355.5000  4.806E-01
  356.5000  4.461E-01
  357.5000  3.795E-01
  358.5000  2.929E-01
  359.5000  4.931E-01
  360.5000  4.572E-01
  361.5000  4.123E-01
  362.5000  4.843E-01
  363.5000  4.309E-01
  364.5000  4.703E-01
  365.5000  5.732E-01
  366.5000  6.068E-01
  367.5000  5.763E-01
  368.5000  5.064E-01
  369.5000  6.076E-01
  370.5000  5.515E-01
  371.5000  6.312E-01
  372.5000  4.664E-01
  373.5000  4.217E-01
  374.5000  4.629E-01
  375.5000  5.225E-01
  376.5000  5.219E-01
  377.5000  6.216E-01
  378.5000  6.777E-01
  379.5000  5.016E-01
  380.5000  6.034E-01
  381.5000  5.671E-01
  382.5000  3.780E-01
  383.5000  3.320E-01
  384.5000  4.985E-01
  385.5000  4.933E-01
  386.5000  5.030E-01
  387.5000  4.676E-01
  388.5000  4.688E-01
  389.5000  5.914E-01
  390.5000  5.811E-01
  391.5000  6.896E-01
  392.5000  5.173E-01
  393.5000  2.250E-01
  394.5000  5.295E-01
  395.5000  6.815E-01
  396.5000  4.003E-01
  397.5000  4.621E-01
  398.5000  7.943E-01
  399.5000  8.264E-01
  400.5000  8.691E-01
  401.5000  8.945E-01
  402.5000  9.289E-01
  403.5000  8.505E-01
  404.5000  8.344E-01
  405.5000  8.671E-01
  406.5000  8.170E-01
  407.5000  8.239E-01
  408.5000  9.179E-01
  409.5000  9.001E-01
  410.5000  7.808E-01
  411.5000  9.388E-01
  412.5000  9.308E-01
  413.5000  9.030E-01
  414.5000  9.284E-01
  415.5000  8.883E-01
  416.5000  9.671E-01
  417.5000  8.844E-01
  418.5000  8.916E-01
  419.5000  9.213E-01
------------------------------------------------------------
Dose rates, W m-2
   1 = UV-B, 280-315 nm                                  
   2 = UV-B*, 280-320 nm                                 
   3 = UV-A, 315-400 nm                                  
   4 = DNA damage, in vitro (Setlow, 1974)               
   5 = UV index (WMO, 1994; Webb et al., 2011)           
   6 = Plant damage (Caldwell, 1971)                     
   7 = Plant damage,Flint&Caldwell,2003,orig.            
   8 = Plant damage,Flint&Caldwell,2003,ext390           
values at z =      0.000 km
Columns: sza, weighting spectra
 sza, deg.          1          2          3          4          5          6          7          8
   48.2000  1.460E+00  2.502E+00  3.767E+01  7.039E-03  9.186E+00  3.165E-01  7.844E-01  1.052E+00
------------------------------------------------------------
