wavelength_nm,irradiance_col1
280.5,2.051e-12
281.5,4.025e-11
282.5,3.546e-10
283.5,1.316e-09
284.5,9.004e-09
285.5,2.308e-08
286.5,2.143e-07
287.5,9.504e-07
288.5,3.586e-06
289.5,1.6e-05
290.5,5.382e-05
291.5,0.0001398
292.5,0.0002845
293.5,0.0007028
294.5,0.001172
295.5,0.002589
296.5,0.004035
297.5,0.007021
298.5,0.007694
299.5,0.01594
300.5,0.01403
301.5,0.02615
302.5,0.03127
303.5,0.05085
304.5,0.0541
305.5,0.06885
306.5,0.07071
307.5,0.09925
308.5,0.1098
309.5,0.0951
310.5,0.1278
311.5,0.1631
312.5,0.1569
313.5,0.1771
314.5,0.175
315.5,0.1801
316.5,0.1777
317.5,0.251
318.5,0.1958
319.5,0.2382
320.5,0.2893
321.5,0.2434
322.5,0.2467
323.5,0.2514
324.5,0.295
325.5,0.3313
326.5,0.3976
327.5,0.3711
328.5,0.343
329.5,0.4414
330.5,0.4025
331.5,0.3983
332.5,0.3901
333.5,0.3675
334.5,0.4103
335.5,0.4148
336.5,0.3247
337.5,0.3572
338.5,0.3761
339.5,0.4088
340.5,0.4377
341.5,0.3883
342.5,0.4302
343.5,0.4472
344.5,0.3137
345.5,0.4294
346.5,0.4021
347.5,0.393
348.5,0.4319
349.5,0.3621
350.5,0.5071
351.5,0.4373
352.5,0.3945
353.5,0.4749
354.5,0.5141
355.5,0.4806
356.5,0.4461
357.5,0.3795
358.5,0.2929
359.5,0.4931
360.5,0.4572
361.5,0.4123
362.5,0.4843
363.5,0.4309
364.5,0.4703
365.5,0.5732
366.5,0.6068
367.5,0.5763
368.5,0.5064
369.5,0.6076
370.5,0.5515
371.5,0.6312
372.5,0.4664
373.5,0.4217
374.5,0.4629
375.5,0.5225
376.5,0.5219
377.5,0.6216
378.5,0.6777
379.5,0.5016
380.5,0.6034
381.5,0.5671
382.5,0.378
383.5,0.332
384.5,0.4985
385.5,0.4933
386.5,0.503
387.5,0.4676
388.5,0.4688
389.5,0.5914
390.5,0.5811
391.5,0.6896
392.5,0.5173
393.5,0.225
394.5,0.5295
395.5,0.6815
396.5,0.4003
397.5,0.4621
398.5,0.7943
399.5,0.8264
400.5,0.8691
401.5,0.8945
402.5,0.9289
403.5,0.8505
404.5,0.8344
405.5,0.8671
406.5,0.817
407.5,0.8239
408.5,0.9179
409.5,0.9001
410.5,0.7808
411.5,0.9388
412.5,0.9308
413.5,0.903
414.5,0.9284
415.5,0.8883
416.5,0.9671
417.5,0.8844
418.5,0.8916
419.5,0.9213
