sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,3.158,5.099,64.78,0.02223,22.79,0.8381,1.636,2.089
5.0,3.133,5.063,64.46,0.02193,22.56,0.8293,1.623,2.074
10.0,3.058,4.954,63.5,0.02107,21.89,0.8031,1.586,2.03
15.0,2.939,4.779,61.9,0.0197,20.82,0.761,1.524,1.958
20.0,2.775,4.537,59.7,0.0179,19.37,0.7041,1.441,1.86
25.0,2.573,4.238,56.91,0.01579,17.63,0.6364,1.34,1.739
30.0,2.338,3.888,53.57,0.01349,15.67,0.5598,1.223,1.6
35.0,2.078,3.497,49.73,0.01113,13.55,0.4779,1.095,1.446
40.0,1.801,3.074,45.44,0.00883,11.39,0.3947,0.9604,1.282
45.0,1.516,2.634,40.77,0.006714,9.264,0.3136,0.8229,1.112
50.0,1.232,2.189,35.78,0.004865,7.261,0.2382,0.6871,0.9417
55.0,0.9607,1.753,30.58,0.003338,5.455,0.1715,0.5569,0.7754
60.0,0.7116,1.343,25.28,0.002152,3.903,0.1156,0.4359,0.6173
65.0,0.494,0.9713,20.02,0.001293,2.636,0.07203,0.3269,0.4712
70.0,0.3153,0.6526,14.96,0.0007205,1.663,0.04075,0.2322,0.3404
75.0,0.1799,0.3962,10.31,0.000373,0.9661,0.02066,0.1531,0.228
80.0,0.08783,0.2067,6.277,0.0001837,0.5047,0.009539,0.09022,0.1359
85.0,0.03535,0.08414,3.007,8.935e-05,0.226,0.004422,0.04254,0.06464
