sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,4.195,6.263,65.07,0.05776,39.41,1.54,2.338,2.791
5.0,4.166,6.222,64.75,0.05703,39.05,1.525,2.318,2.769
10.0,4.073,6.094,63.79,0.05491,37.94,1.48,2.261,2.705
15.0,3.924,5.888,62.19,0.05151,36.16,1.408,2.168,2.602
20.0,3.719,5.604,59.98,0.04702,33.77,1.311,2.043,2.461
25.0,3.465,5.25,57.19,0.04171,30.85,1.193,1.89,2.289
30.0,3.17,4.836,53.85,0.03587,27.54,1.059,1.714,2.091
35.0,2.841,4.372,50.0,0.02983,23.96,0.9161,1.523,1.873
40.0,2.488,3.87,45.7,0.02391,20.27,0.7687,1.323,1.644
45.0,2.123,3.344,41.01,0.0184,16.61,0.6237,1.121,1.41
50.0,1.757,2.81,36.01,0.01353,13.14,0.4868,0.9236,1.178
55.0,1.403,2.285,30.8,0.009479,9.979,0.3637,0.7381,0.9566
60.0,1.073,1.785,25.48,0.006305,7.244,0.2583,0.5694,0.7508
65.0,0.7783,1.328,20.2,0.003989,5.0,0.1733,0.4215,0.5658
70.0,0.5298,0.9291,15.12,0.00242,3.269,0.1094,0.2968,0.405
75.0,0.3331,0.6006,10.44,0.001434,2.019,0.06515,0.1959,0.2707
80.0,0.189,0.3472,6.383,0.0008424,1.167,0.03691,0.1175,0.1632
85.0,0.09179,0.1661,3.082,0.0004658,0.5979,0.01944,0.05814,0.08025
