case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,0.5,285.61,1.00896,1.23738e-08,316608420600.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,1.5,279.152,0.896257,1.28825e-08,299577384500.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,2.5,274.644,0.794701,1.41194e-08,295914385200.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,3.5,269.485,0.703158,1.66129e-08,313963874520.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,4.5,263.754,0.620664,2.05822e-08,350805075020.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,5.5,257.652,0.546404,2.61176e-08,401171559520.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,6.5,250.923,0.479575,3.31824e-08,459347281440.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,7.5,243.829,0.419467,4.1587e-08,518186496100.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,8.5,236.514,0.365481,5.10394e-08,571253380560.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,9.5,229.31,0.317116,6.14174e-08,615181245360.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,10.5,222.634,0.273978,7.44655e-08,663737064425.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,11.5,216.933,0.235748,1.00983e-07,794854360110.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,12.5,212.39,0.202133,1.57958e-07,1088834506019.9999
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,13.5,208.731,0.172798,2.57432e-07,1543588015200.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,14.5,205.532,0.147343,4.02985e-07,2092447224450.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,15.5,202.644,0.125344,5.60214e-07,2509797934980.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,16.5,200.222,0.106406,7.10638e-07,2735380683220.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,17.5,198.392,0.0901738,8.36151e-07,2752692707100.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,18.5,196.946,0.0763162,9.35892e-07,2626711922880.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,19.5,195.813,0.0645199,1.01989e-06,2434008280600.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,20.5,195.148,0.0545068,1.09755e-06,2220376576500.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,21.5,195.043,0.0460338,1.17602e-06,2010382669600.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,22.5,195.386,0.0388833,1.25957e-06,1815556793700.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,23.5,195.915,0.0328575,1.34939e-06,1639158008600.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,24.5,196.367,0.0277788,1.44373e-06,1479274632600.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,25.5,196.554,0.023493,1.53566e-06,1329437754260.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,26.5,196.36,0.0198697,1.61362e-06,1182647915920.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,27.5,195.621,0.0167996,1.66319e-06,1034530791040.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,28.5,194.41,0.014193,1.66809e-06,882045957840.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,29.5,192.738,0.0119765,1.61797e-06,728196521960.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,30.5,190.638,0.0100899,1.51233e-06,579747168510.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,31.5,188.162,0.00848335,1.36731e-06,446497815120.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,32.5,185.31,0.0071154,1.20935e-06,336333537850.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,33.5,182.522,0.00595223,1.06114e-06,250642329139.99997
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,34.5,180.07,0.00496654,9.37141e-07,187211720429.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,35.5,178.058,0.00413486,8.30611e-07,139705447756.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,36.5,176.488,0.0034362,7.24502e-07,102169272040.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,37.5,175.524,0.00285186,6.14127e-07,72271693614.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,38.5,175.155,0.00236528,5.13673e-07,50241534253.200005
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,39.5,175.181,0.00196143,4.26802e-07,34612191073.2
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,40.5,175.437,0.00162686,3.5273e-07,23691216269.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,41.5,175.623,0.00134976,2.90851e-07,16190569936.2
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,42.5,175.673,0.00112007,2.39193e-07,11046052336.5
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,43.5,175.634,0.000929537,1.95579e-07,7497168922.8
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,44.5,175.52,0.000771397,1.5854e-07,5046692842.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,45.5,175.338,0.0006401,1.27102e-07,3360780243.2
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,46.5,175.113,0.000531067,1.0071e-07,2212175718.0
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,47.5,174.83,0.000440513,7.91212e-08,1443953987.8799999
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,48.5,174.474,0.000365297,6.19655e-08,939682021.3
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,49.5,174.076,0.000302819,4.85893e-08,612210603.21
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,50.5,173.65,0.000250929,3.82733e-08,400579839.78999996
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,51.5,173.209,0.000207846,3.0332e-08,263626331.52000004
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,52.5,172.862,0.000172095,2.41273e-08,173977617.386
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,53.5,172.636,0.000142456,1.92463e-08,115030323.52499999
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,54.5,172.428,0.0001179,1.54308e-08,76420728.384
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,55.5,172.661,9.75819e-05,1.22799e-08,50267402.253
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,56.5,172.894,8.07908e-05,9.80824e-09,33196282.5272
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,57.5,173.432,6.69202e-05,7.76589e-09,21703798.736399997
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,58.5,174.235,5.54739e-05,6.01665e-09,13874755.899
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,59.5,175.037,4.60281e-05,4.44349e-09,8463204.3587
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,60.5,176.318,3.82345e-05,3.40754e-09,5351984.5502
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,61.5,177.603,3.18054e-05,4.37907e-09,5680004.1156
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,62.5,178.98,2.64956e-05,7.79769e-09,8360839.171800001
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,63.5,180.494,2.21062e-05,1.16532e-08,10337437.188
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,64.5,182.009,1.84734e-05,1.47939e-08,10875617.2338
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,65.5,183.574,1.54622e-05,1.6815e-08,10258293.42
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,66.5,185.158,1.29627e-05,1.7701e-08,8975663.771
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,67.5,186.75,1.08845e-05,1.75869e-08,7424257.0742999995
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,68.5,188.548,9.15464e-06,1.65772e-08,5829720.501200001
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,69.5,190.347,7.71307e-06,1.50064e-08,4404273.3552
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,70.5,192.528,6.51055e-06,1.29632e-08,3175063.6128
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,71.5,195.722,5.50868e-06,1.05504e-08,2150772.8928
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,72.5,198.916,4.67403e-06,8.34693e-09,1420580.7105599998
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,73.5,203.208,3.97816e-06,6.26109e-09,887784.99546
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,74.5,209.223,3.39961e-06,4.41464e-09,519554.56696
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,75.5,215.237,2.91845e-06,3.07234e-09,301732.053528
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,76.5,222.278,2.51694e-06,2.0685e-09,169647.82065
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,77.5,231.44,2.18218e-06,1.32433e-09,90440.879494
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,78.5,240.602,1.90263e-06,8.49997e-10,48684.3431723
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,79.5,249.764,1.66755e-06,5.47912e-10,26495.818913600004
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,80.5,261.275,1.46934e-06,3.39721e-10,13837.7196046
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,81.5,273.031,1.30194e-06,2.11859e-10,7317.1649560999995
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,82.5,284.786,1.1596e-06,1.33621e-10,3940.7638941000005
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,83.5,296.541,1.03774e-06,8.52456e-11,2160.6776004
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,84.5,309.429,9.32917e-07,5.40279e-11,1179.82346067
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,85.5,322.41,8.42399e-07,3.4649e-11,655.7184654
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,86.5,335.391,7.63777e-07,2.2521e-11,371.46587819999996
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,87.5,348.372,6.95109e-07,1.48321e-11,214.35202599
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,88.5,361.232,6.3482e-07,9.9118e-12,126.16333748
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,89.5,373.435,5.81588e-07,6.7667e-12,76.32972934
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,90.5,385.638,5.34343e-07,4.67293e-12,46.897058187
pal1,1% PAL,photochem,Earth_1pc_48.2.txt,148.1953,91.5,397.841,4.92253e-07,3.2634e-12,29.24593812
