wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,1.258e-08,1.181e-08,9.753e-09,7.034e-09,4.378e-09,2.309e-09,1.005e-09,3.475e-10,9.073e-11,1.664e-11,1.954e-12,1.388e-13,1.1e-14,3.888e-15,2.491e-15,1.797e-15,1.323e-15,9.146e-16
281.5,1.175e-07,1.109e-07,9.302e-08,6.894e-08,4.464e-08,2.484e-08,1.16e-08,4.39e-09,1.285e-09,2.729e-10,3.865e-11,3.463e-12,3.138e-13,1.032e-13,6.471e-14,4.622e-14,3.38e-14,2.324e-14
282.5,5.478e-07,5.194e-07,4.418e-07,3.352e-07,2.246e-07,1.309e-07,6.491e-08,2.655e-08,8.582e-09,2.066e-09,3.437e-10,3.755e-11,3.867e-12,1.194e-12,7.304e-13,5.163e-13,3.751e-13,2.565e-13
283.5,1.347e-06,1.281e-06,1.099e-06,8.467e-07,5.801e-07,3.484e-07,1.797e-07,7.728e-08,2.663e-08,6.956e-09,1.284e-09,1.593e-10,1.79e-11,5.293e-12,3.177e-12,2.228e-12,1.611e-12,1.097e-12
284.5,4.255e-06,4.068e-06,3.549e-06,2.812e-06,2.007e-06,1.274e-06,7.059e-07,3.33e-07,1.291e-07,3.919e-08,8.763e-09,1.378e-09,1.861e-10,5.147e-11,2.952e-11,2.034e-11,1.454e-11,9.821e-12
285.5,6.207e-06,5.958e-06,5.261e-06,4.256e-06,3.13e-06,2.069e-06,1.209e-06,6.108e-07,2.491e-07,8.758e-08,2.254e-08,4.217e-09,6.583e-10,1.751e-10,9.594e-11,6.506e-11,4.605e-11,3.086e-11
286.5,3.74e-05,3.601e-05,3.209e-05,2.638e-05,1.985e-05,1.354e-05,8.247e-06,4.39e-06,1.984e-06,7.324e-07,2.1e-07,4.484e-08,7.871e-09,2.052e-09,1.076e-09,7.183e-10,5.038e-10,3.353e-10
287.5,0.000102,9.854e-05,8.874e-05,7.424e-05,5.734e-05,4.05e-05,2.581e-05,1.457e-05,7.094e-06,2.878e-06,9.303e-07,2.303e-07,4.643e-08,1.204e-08,5.952e-09,3.889e-09,2.693e-09,1.776e-09
288.5,0.0002275,0.0002206,0.0002009,0.0001714,0.0001321,9.985e-05,6.686e-05,4.02e-05,2.121e-05,9.534e-06,3.509e-06,1.019e-06,2.408e-07,6.377e-08,2.924e-08,1.851e-08,1.26e-08,8.207e-09
289.5,0.0006987,0.0006793,0.0006237,0.0005393,0.0004371,0.0003294,0.0002285,0.0001438,8.037e-05,3.885e-05,1.568e-05,5.103e-06,1.355e-06,3.709e-07,1.603e-07,9.838e-08,6.596e-08,4.248e-08
290.5,0.001707,0.001672,0.001545,0.001352,0.001114,0.0008592,0.000614,0.0004013,0.0002354,0.000121,5.277e-05,1.888e-05,5.544e-06,1.583e-06,6.506e-07,3.861e-07,2.547e-07,1.622e-07
