case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,0.6125788667453451,286.71,1.0,4.85875222111083e-09,122743535566.42326
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,1.822013696889725,279.68901518152126,0.8682540279894776,4.77073937975409e-09,107268894909.37384
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,3.0044355868469586,274.37811657366666,0.753865057119951,5.39290572208233e-09,107320747347.9581
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,4.162970105804032,268.4634955201468,0.6545463724049151,7.059116957001291e-09,124658608401.97662
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,5.295306965130474,262.07241036463085,0.5683125243464682,9.971233320356055e-09,156614338286.0417
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,6.399704519562105,255.32369851840767,0.493439638420688,1.4354019153834354e-08,200924615406.47577
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,7.47479424433094,248.26876691543305,0.42843095362843375,2.0375410033202544e-08,254672368810.6032
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,8.519796415959945,241.13527204050308,0.3719869012032607,2.803277852365671e-08,313220204709.4118
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,9.534581227281103,234.00721304404377,0.32297912532905493,3.762290444316777e-08,376109450952.60284
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,10.519955037598475,227.24691554003604,0.2804279265234697,5.0403177987894584e-08,450503221716.9951
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,11.478437151974118,221.29933880897292,0.24348267676473978,7.0172407836271e-08,559205001871.655
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,12.413987620878853,216.39591246110047,0.2114048148466453,1.0917060922018935e-07,772481829232.8341
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,13.330899900474432,212.46040653867894,0.18355308202696916,1.7975071344746146e-07,1124788877299.7925
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,14.232754743661665,209.234914722434,0.15937070281979893,2.855047740172497e-07,1575086551818.3997
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,15.121974239983999,206.43594542144567,0.13837425466680442,4.104985724379358e-07,1992958900070.8535
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,15.999996147890407,203.88682339654775,0.12014400398449446,5.454638475729239e-07,2328067835931.056
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,16.867896116655306,201.5946012425435,0.10431551539832117,6.837169457750007e-07,2562495267459.244
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,17.727151486274014,199.73928885032672,0.09057236642639072,8.148282812967197e-07,2676178190820.162
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,18.579595590419345,198.3063586742215,0.07863982197425251,9.297897162460599e-07,2670590731365.1753
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,19.426642396683473,197.11367066475844,0.06827934218952017,1.0268379593667022e-06,2576269044537.573
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,20.269232773292334,196.12185322860327,0.059283813884522765,1.104440141978074e-06,2418070992460.732
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,21.10830726978843,195.3696556202978,0.05147341019981531,1.160582795469955e-06,2214719230011.903
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,21.94525252967749,195.02593669841553,0.0446919957403443,1.1924890102131624e-06,1979285663201.5386
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,22.78176297877674,195.06471851854974,0.038804005320442515,1.1975545114272886e-06,1725479637715.1611
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,23.619177297837975,195.34531574979232,0.033691733921599264,1.1733805630581047e-06,1465804220541.503
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,24.458309882668612,195.76339295569574,0.029252983687378272,1.1177240856922122e-06,1209734349588.1433
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,25.299489465914235,196.19658747548235,0.025399020917276666,1.0300470399543145e-06,965826911378.2234
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,26.14237182701272,196.45361932496132,0.02205280221841442,9.152969317759157e-07,744187673111.626
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,26.986178222554262,196.5235481515672,0.019147434354593606,7.853698636267948e-07,554226059710.0475
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,27.830020902951034,196.36694966556794,0.01662483700404,6.576907877149374e-07,403299309237.73663
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,28.672485589132087,195.7786229860551,0.01443458169342622,5.461647279079595e-07,291661630871.91864
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,29.512137717958574,194.9549712390493,0.01253288369766049,4.5529763918656834e-07,211996558783.84924
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,30.34793611995851,193.88333636066656,0.010881726752817377,3.835629148164414e-07,155923171363.7972
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,31.178309208061524,192.33020415680258,0.009448103084614537,3.284253158056333e-07,116855854083.72612
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,32.00196038887451,190.6576281466192,0.008203353560076381,2.848251213521765e-07,88763057279.2596
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,32.818105732345636,188.74254319985633,0.00712259477155813,2.5023518211684935e-07,68396443711.9884
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,33.62562766961595,186.55329255924363,0.00618422160014214,2.2232019855458693e-07,53379900975.19226
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,34.42408746828648,184.43739031562478,0.00536947531430294,1.985501240991078e-07,41866799412.12299
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,35.213545752503286,182.27950923715267,0.004662068569833589,1.7808177769427898e-07,32989596667.807312
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,35.99455355014862,180.4225983645937,0.004047859814521157,1.5932631111332747e-07,25890399325.404015
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,36.76831777250891,178.82798999544468,0.0035145705886947304,1.4206558085749312e-07,20222850154.778053
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,37.53606249939837,177.54173804758915,0.003051540070287546,1.2596820217568803e-07,15681812557.058779
pal1,1% PAL,vulcan,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,115.8874,38.29889330104974,176.46224116208484,0.0026495119575984556,1.1101305192654236e-07,12072712342.401878
