Spectral Irradiance, W m-2 nm-1
values at z =      0.000 km
Columns: wavelength (nm), solar zenith angles (deg.)
    wc, nm     48.200
  280.5000  6.409E-10
  281.5000  7.515E-09
  282.5000  4.257E-08
  283.5000  1.186E-07
  284.5000  4.744E-07
  285.5000  8.209E-07
  286.5000  5.636E-06
  287.5000  1.779E-05
  288.5000  4.646E-05
  289.5000  1.594E-04
  290.5000  4.295E-04
  291.5000  8.652E-04
  292.5000  1.431E-03
  293.5000  2.902E-03
  294.5000  4.159E-03
  295.5000  7.785E-03
  296.5000  1.060E-02
  297.5000  1.635E-02
  298.5000  1.620E-02
  299.5000  3.045E-02
  300.5000  2.495E-02
  301.5000  4.294E-02
  302.5000  4.870E-02
  303.5000  7.444E-02
  304.5000  7.638E-02
  305.5000  9.183E-02
  306.5000  9.236E-02
  307.5000  1.238E-01
  308.5000  1.346E-01
  309.5000  1.131E-01
  310.5000  1.487E-01
  311.5000  1.870E-01
  312.5000  1.752E-01
  313.5000  1.967E-01
  314.5000  1.900E-01
  315.5000  1.949E-01
  316.5000  1.889E-01
  317.5000  2.669E-01
  318.5000  2.048E-01
  319.5000  2.486E-01
  320.5000  3.008E-01
  321.5000  2.494E-01
  322.5000  2.557E-01
  323.5000  2.560E-01
  324.5000  3.007E-01
  325.5000  3.385E-01
  326.5000  4.014E-01
  327.5000  3.763E-01
  328.5000  3.476E-01
  329.5000  4.435E-01
  330.5000  4.060E-01
  331.5000  4.020E-01
  332.5000  3.913E-01
  333.5000  3.697E-01
  334.5000  4.122E-01
  335.5000  4.154E-01
  336.5000  3.255E-01
  337.5000  3.589E-01
  338.5000  3.766E-01
  339.5000  4.093E-01
  340.5000  4.387E-01
  341.5000  3.885E-01
  342.5000  4.303E-01
  343.5000  4.476E-01
  344.5000  3.142E-01
  345.5000  4.294E-01
  346.5000  4.025E-01
  347.5000  3.933E-01
  348.5000  4.321E-01
  349.5000  3.623E-01
  350.5000  5.074E-01
  351.5000  4.376E-01
  352.5000  3.947E-01
  353.5000  4.751E-01
  354.5000  5.142E-01
  355.5000  4.806E-01
  356.5000  4.462E-01
  357.5000  3.796E-01
  358.5000  2.930E-01
  359.5000  4.932E-01
  360.5000  4.573E-01
  361.5000  4.123E-01
  362.5000  4.844E-01
  363.5000  4.310E-01
  364.5000  4.703E-01
  365.5000  5.733E-01
  366.5000  6.069E-01
  367.5000  5.764E-01
  368.5000  5.065E-01
  369.5000  6.077E-01
  370.5000  5.515E-01
  371.5000  6.312E-01
  372.5000  4.664E-01
  373.5000  4.217E-01
  374.5000  4.630E-01
  375.5000  5.225E-01
  376.5000  5.219E-01
  377.5000  6.217E-01
  378.5000  6.778E-01
  379.5000  5.016E-01
  380.5000  6.034E-01
  381.5000  5.672E-01
  382.5000  3.781E-01
  383.5000  3.321E-01
  384.5000  4.985E-01
  385.5000  4.933E-01
  386.5000  5.030E-01
  387.5000  4.676E-01
  388.5000  4.689E-01
  389.5000  5.915E-01
  390.5000  5.811E-01
  391.5000  6.896E-01
  392.5000  5.173E-01
  393.5000  2.250E-01
  394.5000  5.295E-01
  395.5000  6.816E-01
  396.5000  4.003E-01
  397.5000  4.621E-01
  398.5000  7.943E-01
  399.5000  8.265E-01
  400.5000  8.691E-01
  401.5000  8.945E-01
  402.5000  9.290E-01
  403.5000  8.506E-01
  404.5000  8.345E-01
  405.5000  8.671E-01
  406.5000  8.170E-01
  407.5000  8.240E-01
  408.5000  9.180E-01
  409.5000  9.002E-01
  410.5000  7.809E-01
  411.5000  9.389E-01
  412.5000  9.309E-01
  413.5000  9.031E-01
  414.5000  9.285E-01
  415.5000  8.884E-01
  416.5000  9.672E-01
  417.5000  8.845E-01
  418.5000  8.917E-01
  419.5000  9.214E-01
------------------------------------------------------------
Dose rates, W m-2
   1 = UV-B, 280-315 nm                                  
   2 = UV-B*, 280-320 nm                                 
   3 = UV-A, 315-400 nm                                  
   4 = DNA damage, in vitro (Setlow, 1974)               
   5 = UV index (WMO, 1994; Webb et al., 2011)           
   6 = Plant damage (Caldwell, 1971)                     
   7 = Plant damage,Flint&Caldwell,2003,orig.            
   8 = Plant damage,Flint&Caldwell,2003,ext390           
values at z =      0.000 km
Columns: sza, weighting spectra
 sza, deg.          1          2          3          4          5          6          7          8
   48.2000  1.812E+00  2.916E+00  3.782E+01  1.310E-02  1.324E+01  4.878E-01  9.473E-01  1.215E+00
------------------------------------------------------------
