wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,0.0001042,0.0001012,9.269e-05,7.981e-05,6.428e-05,4.808e-05,3.304e-05,2.056e-05,1.137e-05,5.451e-06,2.212e-06,7.545e-07,2.367e-07,9.102e-08,5.092e-08,3.406e-08,2.33e-08,1.456e-08
281.5,0.0004257,0.0004145,0.000382,0.0003326,0.0002722,0.0002081,0.0001471,9.491e-05,5.494e-05,2.792e-05,1.217e-05,4.515e-06,1.523e-06,5.915e-07,3.219e-07,2.124e-07,1.441e-07,8.968e-08
282.5,0.0009759,0.0009518,0.0008823,0.0007754,0.0006436,0.0005012,0.000363,0.0002417,0.0001455,7.772e-05,3.511e-05,1.436e-05,5.166e-06,2.037e-06,1.081e-06,7.025e-07,4.732e-07,2.929e-07
283.5,0.001515,0.001479,0.001376,0.001217,0.001019,0.0008035,0.0005914,0.0004018,0.0002482,0.0001369,6.602e-05,2.754e-05,1.033e-05,4.122e-06,2.15e-06,1.381e-06,9.248e-07,5.703e-07
284.5,0.002046,0.002002,0.001875,0.001677,0.001428,0.001151,0.0008718,0.0005978,0.000398,0.0002328,0.0001207,5.488e-05,2.237e-05,9.243e-06,4.695e-06,2.94e-06,1.944e-06,1.188e-06
285.5,0.001597,0.001565,0.001473,0.001329,0.001145,0.0009383,0.0007263,0.0005262,0.0003527,0.0002154,0.0001179,5.705e-05,2.476e-05,1.057e-05,5.278e-06,3.228e-06,2.109e-06,1.278e-06
286.5,0.005951,0.005841,0.005518,0.00501,0.004358,0.003617,0.002847,0.002106,0.00145,0.0009153,0.0005217,0.0002649,0.0001207,5.302e-05,2.622e-05,1.571e-05,1.015e-05,6.103e-06
287.5,0.0095,0.009336,0.008857,0.0081,0.006934,0.005994,0.004804,0.003639,0.00258,0.00169,0.001008,0.0005398,0.0002602,0.0001187,5.841e-05,3.411e-05,2.171e-05,1.292e-05
288.5,0.01186,0.01167,0.01113,0.01025,0.009117,0.007793,0.006371,0.00495,0.003622,0.002468,0.001546,0.0008779,0.0004506,0.0002157,0.0001065,6.038e-05,3.764e-05,2.208e-05
289.5,0.02406,0.02371,0.02267,0.02101,0.01884,0.01628,0.0135,0.01068,0.007995,0.005605,0.003634,0.002151,0.001155,0.0005742,0.0002857,0.0001587,9.708e-05,5.625e-05
290.5,0.0417,0.04112,0.03943,0.03672,0.03315,0.02891,0.02427,0.01949,0.01487,0.01068,0.007127,0.004369,0.002439,0.001254,0.0006312,0.0003447,0.0002069,0.0001184
