sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.348,6.574,62.25,0.1556,68.08,2.835,3.728,4.198
5.0,5.31,6.529,61.94,0.1539,67.49,2.81,3.698,4.165
10.0,5.199,6.398,61.01,0.1487,65.74,2.734,3.606,4.067
15.0,5.016,6.182,59.49,0.1404,62.89,2.609,3.457,3.907
20.0,4.768,5.887,57.37,0.1294,59.05,2.443,3.256,3.69
25.0,4.458,5.52,54.7,0.1161,54.33,2.24,3.01,3.424
30.0,4.096,5.088,51.5,0.1013,48.91,2.007,2.726,3.117
35.0,3.692,4.605,47.82,0.08573,42.99,1.755,2.417,2.78
40.0,3.256,4.082,43.7,0.07007,36.79,1.492,2.091,2.424
45.0,2.802,3.534,39.21,0.05509,30.54,1.229,1.762,2.062
50.0,2.343,2.976,34.43,0.04145,24.49,0.9773,1.44,1.704
55.0,1.893,2.426,29.45,0.02969,18.86,0.7455,1.138,1.365
60.0,1.469,1.902,24.36,0.02012,13.86,0.5419,0.8645,1.053
65.0,1.085,1.421,19.32,0.01286,9.656,0.3725,0.6276,0.7776
70.0,0.7523,0.9991,14.47,0.007757,6.318,0.2401,0.4316,0.5441
75.0,0.4803,0.6474,10.0,0.004441,3.844,0.1435,0.2771,0.3549
80.0,0.2719,0.3717,6.122,0.002423,2.131,0.07818,0.1611,0.2086
85.0,0.1247,0.1713,2.957,0.001197,1.006,0.03674,0.07714,0.1001
