wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
280.5,0.0002639,0.0002573,0.0002381,0.0002087,0.0001725,0.0001336,9.606e-05,6.331e-05,3.762e-05,1.971e-05,8.892e-06,3.393e-06,1.142e-06,4.185e-07,2.172e-07,1.434e-07,9.871e-08,6.222e-08
281.5,0.0009946,0.0009713,0.0009039,0.0007998,0.0006702,0.0005287,0.0003894,0.0002647,0.0001636,9.006e-05,4.318e-05,1.773e-05,6.402e-06,2.4e-06,1.207e-06,7.808e-07,5.33e-07,3.349e-07
282.5,0.002126,0.002079,0.001944,0.001734,0.001471,0.001179,0.0008867,0.000619,0.0003955,0.0002272,0.0001148,5.018e-05,1.928e-05,7.422e-06,3.637e-06,2.301e-06,1.557e-06,9.74e-07
283.5,0.003152,0.003087,0.002895,0.002596,0.002219,0.001797,0.00137,0.0009732,0.0006328,0.0003752,0.0001962,8.925e-05,3.571e-05,1.401e-05,6.751e-06,4.197e-06,2.82e-06,1.758e-06
284.5,0.003914,0.00384,0.003622,0.00328,0.002842,0.002346,0.001833,0.001344,0.0009135,0.0005669,0.0003154,0.0001547,6.695e-05,2.754e-05,1.3e-05,7.793e-06,5.152e-06,3.185e-06
285.5,0.002871,0.002821,0.002672,0.002437,0.002134,0.001787,0.001422,0.001067,0.0007465,0.0004808,0.0002801,0.0001451,6.661e-05,2.853e-05,1.334e-05,7.751e-06,5.045e-06,3.092e-06
286.5,0.0102,0.01003,0.009532,0.008742,0.007717,0.006532,0.005272,0.004027,0.002883,0.00191,0.001152,0.0006225,0.0002992,0.0001326,6.185e-05,3.499e-05,2.243e-05,1.364e-05
287.5,0.01543,0.01519,0.01449,0.01337,0.01191,0.0102,0.008362,0.006516,0.004784,0.00327,0.002051,0.001161,0.0005882,0.0002723,0.0001276,6.999e-05,4.392e-05,2.641e-05
288.5,0.01817,0.01791,0.01715,0.01593,0.01432,0.01243,0.01037,0.008254,0.006226,0.004403,0.00288,0.001716,0.0009211,0.0004492,0.0002138,0.0001137,6.927e-05,4.1e-05
289.5,0.03534,0.03487,0.03348,0.03125,0.0283,0.02479,0.02092,0.01692,0.01301,0.009428,0.006355,0.003928,0.002198,0.001115,0.00054,0.0002814,0.0001671,9.749e-05
290.5,0.05909,0.05834,0.05615,0.05262,0.04793,0.04232,0.03609,0.02956,0.02311,0.01709,0.01181,0.007529,0.004365,0.002294,0.001132,0.0005821,0.0003367,0.0001936
291.5,0.06916,0.06835,0.06596,0.06209,0.05693,0.05072,0.04375,0.03637,0.02896,0.02191,0.01558,0.01029,0.006213,0.003408,0.001731,0.000882,0.000494,0.0002781
292.5,0.07345,0.07265,0.07026,0.06639,0.06121,0.05493,0.04783,0.04025,0.03254,0.02508,0.01826,0.0124,0.00775,0.004409,0.002303,0.001172,0.000638,0.0003514
293.5,0.09808,0.09707,0.09408,0.08922,0.08267,0.0747,0.06564,0.05586,0.04581,0.03595,0.02675,0.01867,0.01205,0.007105,0.003827,0.001958,0.001038,0.0005574
