sza_deg,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
0.0,5.764,7.004,62.3,0.2009,78.82,3.342,4.264,4.734
5.0,5.723,6.957,61.99,0.1987,78.15,3.312,4.229,4.696
10.0,5.606,6.819,61.06,0.1923,76.18,3.224,4.125,4.586
15.0,5.412,6.591,59.53,0.1819,72.96,3.081,3.956,4.405
20.0,5.146,6.28,57.42,0.168,68.6,2.888,3.727,4.161
25.0,4.816,5.891,54.75,0.1513,63.24,2.652,3.446,3.86
30.0,4.427,5.433,51.54,0.1325,57.04,2.381,3.121,3.512
35.0,3.998,4.924,47.86,0.1126,50.3,2.088,2.767,3.131
40.0,3.531,4.369,43.74,0.09251,43.18,1.78,2.394,2.727
45.0,3.043,3.787,39.25,0.07313,35.96,1.471,2.015,2.315
50.0,2.549,3.193,34.47,0.05531,28.92,1.173,1.644,1.908
55.0,2.064,2.607,29.48,0.03977,22.33,0.8972,1.295,1.522
60.0,1.604,2.046,24.39,0.02699,16.44,0.6532,0.9785,1.167
65.0,1.186,1.53,19.34,0.01717,11.43,0.4486,0.7047,0.8546
70.0,0.8221,1.075,14.49,0.01022,7.428,0.2876,0.479,0.5916
75.0,0.5231,0.6944,10.02,0.005705,4.454,0.1697,0.303,0.3808
80.0,0.2932,0.3954,6.132,0.003018,2.414,0.09042,0.1732,0.2207
85.0,0.1318,0.1791,2.96,0.001472,1.116,0.04148,0.08198,0.1049
